,GCM,RCM,RCP,ensemble,institute,Prec,RH,Rs,T,Tmax,Tmin,aP,u2,EToPM,EToPM2,EToHG,EToPT,EToSJ
CERFACS-CNRM-CM5.v2-r5.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r5,,111,111,DMI.CERFACS-CNRM-CM5.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v2-r6.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r6,,111,111,GERICS.CERFACS-CNRM-CM5.REMO2015.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v2-r7.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r7,,111,111,DWD.CERFACS-CNRM-CM5.EPISODES2018.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v2-r8.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r8,,111,111,DMI.CERFACS-CNRM-CM5.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v2-r9.WETTREG2013.rcp85,CERFACS-CNRM-CM5,WETTREG2013,rcp85,v2-r9,,111,111,CLMcom.CERFACS-CNRM-CM5.CCLM4-8-17.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r1.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r1,,111,111,KNMI.EC-EARTH.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r10.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r10,,111,111,KNMI.EC-EARTH.RACMO22E.r3i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r2.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r2,,111,111,DWD.EC-EARTH.EPISODES2018.r12i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r3.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r3,,111,111,DWD.EC-EARTH.EPISODES2018.r12i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r4.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r4,,111,111,KNMI.EC-EARTH.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r5.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r5,,111,111,DWD.EC-EARTH.EPISODES2018.r12i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r6.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r6,,111,111,DMI.EC-EARTH.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r7.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r7,,111,111,KNMI.EC-EARTH.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r8.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r8,,111,111,DWD.EC-EARTH.EPISODES2018.r9i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r9.WETTREG2013.rcp85,EC-EARTH,WETTREG2013,rcp85,v1-r9,,111,111,DMI.EC-EARTH.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r1.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v1-r1,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r10.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v1-r10,,111,111,MIROC5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r2.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v1-r2,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r3.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v1-r3,,111,111,MIROC5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r4.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v1-r4,,111,111,MIROC5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r5.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v1-r5,,111,111,MIROC5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r6.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v1-r6,,111,111,MIROC5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r7.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v1-r7,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r8.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v1-r8,,111,111,MIROC5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r9.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v1-r9,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v2-r1.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v2-r1,,111,111,MIROC5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v2-r10.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v2-r10,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v2-r2.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v2-r2,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,11,111,111,11.0,11.0,11.0,11.0,11.0
MIROC5.v2-r3.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v2-r3,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v2-r4.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v2-r4,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v2-r5.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v2-r5,,111,111,MIROC5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v2-r6.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v2-r6,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v2-r7.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v2-r7,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v2-r8.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v2-r8,,111,111,MIROC5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v2-r9.WETTREG2013.rcp85,MIROC5,WETTREG2013,rcp85,v2-r9,,11,111,MIROC5.v1.REMO2015.rcp85,11,111,111,111,111,11.0,11.0,11.0,11.0,11.0
HadGEM2-ES.v1-r1.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v1-r1,,111,111,DMI.HadGEM2-ES.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r10.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v1-r10,,111,111,KNMI.HadGEM2-ES.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r2.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v1-r2,,111,111,KNMI.HadGEM2-ES.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r3.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v1-r3,,111,111,CLMcom-ETH.HadGEM2-ES.COSMO-crCLIM-v1-1.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r4.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v1-r4,,111,111,HadGEM2-ES.v1.WRF361H.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r5.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v1-r5,,111,111,MOHC.HadGEM2-ES.HadREM3-GA7-05.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r6.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v1-r6,,111,111,CLMcom.HadGEM2-ES.CCLM4-8-17.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r7.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v1-r7,,111,111,CLMcom-ETH.HadGEM2-ES.COSMO-crCLIM-v1-1.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r8.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v1-r8,,111,111,MOHC.HadGEM2-ES.HadREM3-GA7-05.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r9.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v1-r9,,111,111,HadGEM2-ES.v1.WRF361H.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v2-r1.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v2-r1,,111,111,KNMI.HadGEM2-ES.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v2-r10.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v2-r10,,111,111,HadGEM2-ES.v1.WRF361H.rcp85,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
HadGEM2-ES.v2-r3.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v2-r3,,111,111,MOHC.HadGEM2-ES.HadREM3-GA7-05.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v2-r4.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v2-r4,,111,111,HadGEM2-ES.v1.WRF361H.rcp85,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
HadGEM2-ES.v2-r5.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v2-r5,,111,111,HadGEM2-ES.v1.WRF361H.rcp85,111,111,111,11,111,11.0,11.0,111.0,11.0,11.0
HadGEM2-ES.v2-r6.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v2-r6,,111,111,DMI.HadGEM2-ES.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v2-r8.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v2-r8,,111,11,MOHC.HadGEM2-ES.HadREM3-GA7-05.r1i1p1.rcp85,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
HadGEM2-ES.v2-r9.WETTREG2013.rcp85,HadGEM2-ES,WETTREG2013,rcp85,v2-r9,,111,111,CLMcom-ETH.HadGEM2-ES.COSMO-crCLIM-v1-1.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
M-MPI-ESM-LR.v1-r2.WETTREG2013.rcp26,M-MPI-ESM-LR,WETTREG2013,rcp26,v1-r2,,111,111,MPI-CSC.M-MPI-ESM-LR.REMO2009.r1i1p1.rcp26,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r6.WETTREG2013.rcp26,M-MPI-ESM-LR,WETTREG2013,rcp26,v1-r6,,111,111,MPI-CSC.M-MPI-ESM-LR.REMO2009.r1i1p1.rcp26,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r7.WETTREG2013.rcp26,M-MPI-ESM-LR,WETTREG2013,rcp26,v1-r7,,111,111,DWD.M-MPI-ESM-LR.EPISODES2018.r1i1p1.rcp26,111,111,111,111,111,11.0,11.0,11.0,11.0,11.0
M-MPI-ESM-LR.v1-r8.WETTREG2013.rcp26,M-MPI-ESM-LR,WETTREG2013,rcp26,v1-r8,,111,111,MPI-CSC.M-MPI-ESM-LR.REMO2009.r2i1p1.rcp26,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
M-MPI-ESM-LR.v1-r1.WETTREG2013.rcp85,M-MPI-ESM-LR,WETTREG2013,rcp85,v1-r1,,111,111,DWD.M-MPI-ESM-LR.EPISODES2018.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r10.WETTREG2013.rcp85,M-MPI-ESM-LR,WETTREG2013,rcp85,v1-r10,,111,111,DWD.M-MPI-ESM-LR.EPISODES2018.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r2.WETTREG2013.rcp85,M-MPI-ESM-LR,WETTREG2013,rcp85,v1-r2,,111,111,MPI-CSC.M-MPI-ESM-LR.REMO2009.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r3.WETTREG2013.rcp85,M-MPI-ESM-LR,WETTREG2013,rcp85,v1-r3,,111,111,MPI-CSC.M-MPI-ESM-LR.REMO2009.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r4.WETTREG2013.rcp85,M-MPI-ESM-LR,WETTREG2013,rcp85,v1-r4,,111,111,GERICS.M-MPI-ESM-LR.REMO2015.r3i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r5.WETTREG2013.rcp85,M-MPI-ESM-LR,WETTREG2013,rcp85,v1-r5,,111,111,DMI.M-MPI-ESM-LR.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r6.WETTREG2013.rcp85,M-MPI-ESM-LR,WETTREG2013,rcp85,v1-r6,,111,111,CLMcom-ETH.M-MPI-ESM-LR.COSMO-crCLIM-v1-1.r2i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r7.WETTREG2013.rcp85,M-MPI-ESM-LR,WETTREG2013,rcp85,v1-r7,,111,111,DWD.M-MPI-ESM-LR.EPISODES2018.r3i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r8.WETTREG2013.rcp85,M-MPI-ESM-LR,WETTREG2013,rcp85,v1-r8,,111,111,CLMcom-ETH.M-MPI-ESM-LR.COSMO-crCLIM-v1-1.r2i1p1.rcp85,111,111,111,111,111,11.0,11.0,11.0,11.0,11.0
M-MPI-ESM-LR.v1-r9.WETTREG2013.rcp85,M-MPI-ESM-LR,WETTREG2013,rcp85,v1-r9,,111,111,MPI-CSC.M-MPI-ESM-LR.REMO2009.r2i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1.CCLM4-8-17.rcp26,M-MPI-ESM-LR,CCLM4-8-17,rcp26,v1,,11,111,111,11,111,111,111,111,11.0,11.0,11.0,11.0,11.0
CanESM2.v1.CCLM4-8-17.rcp85,CanESM2,CCLM4-8-17,rcp85,v1,,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
MIROC5.v1.CCLM4-8-17.rcp85,MIROC5,CCLM4-8-17,rcp85,v1,,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
CanESM2.v1.REMO2015.rcp85,CanESM2,REMO2015,rcp85,v1,,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1.REMO2015.rcp85,CERFACS-CNRM-CM5,REMO2015,rcp85,v1,,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
EC-EARTH.v1.REMO2015.rcp85,EC-EARTH,REMO2015,rcp85,v1,,111,111,111,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
MIROC5.v1.REMO2015.rcp85,MIROC5,REMO2015,rcp85,v1,,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
HadGEM2-ES.v1.REMO2015.rcp85,HadGEM2-ES,REMO2015,rcp85,v1,,111,111,111,111,111,111,111,111,111.0,111.0,11.0,11.0,11.0
CanESM2.v1-r1.STARS3.rcp85,CanESM2,STARS3,rcp85,v1-r1,,111,111,DWD.CanESM2.EPISODES2018.r5i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r10.STARS3.rcp85,CanESM2,STARS3,rcp85,v1-r10,,111,111,CanESM2.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r2.STARS3.rcp85,CanESM2,STARS3,rcp85,v1-r2,,111,111,DWD.CanESM2.EPISODES2018.r2i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r3.STARS3.rcp85,CanESM2,STARS3,rcp85,v1-r3,,111,111,CanESM2.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r4.STARS3.rcp85,CanESM2,STARS3,rcp85,v1-r4,,111,111,DWD.CanESM2.EPISODES2018.r2i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r5.STARS3.rcp85,CanESM2,STARS3,rcp85,v1-r5,,111,111,CanESM2.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r6.STARS3.rcp85,CanESM2,STARS3,rcp85,v1-r6,,111,111,DWD.CanESM2.EPISODES2018.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r7.STARS3.rcp85,CanESM2,STARS3,rcp85,v1-r7,,111,111,CanESM2.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r8.STARS3.rcp85,CanESM2,STARS3,rcp85,v1-r8,,111,111,DWD.CanESM2.EPISODES2018.r4i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CanESM2.v1-r9.STARS3.rcp85,CanESM2,STARS3,rcp85,v1-r9,,111,111,DWD.CanESM2.EPISODES2018.r4i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r1.STARS3.rcp85,CERFACS-CNRM-CM5,STARS3,rcp85,v1-r1,,111,111,GERICS.CERFACS-CNRM-CM5.REMO2015.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r10.STARS3.rcp85,CERFACS-CNRM-CM5,STARS3,rcp85,v1-r10,,111,111,DWD.CERFACS-CNRM-CM5.EPISODES2018.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r2.STARS3.rcp85,CERFACS-CNRM-CM5,STARS3,rcp85,v1-r2,,111,111,DMI.CERFACS-CNRM-CM5.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r3.STARS3.rcp85,CERFACS-CNRM-CM5,STARS3,rcp85,v1-r3,,111,111,KNMI.CERFACS-CNRM-CM5.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r4.STARS3.rcp85,CERFACS-CNRM-CM5,STARS3,rcp85,v1-r4,,111,111,CERFACS-CNRM-CM5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r5.STARS3.rcp85,CERFACS-CNRM-CM5,STARS3,rcp85,v1-r5,,111,111,CERFACS-CNRM-CM5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r6.STARS3.rcp85,CERFACS-CNRM-CM5,STARS3,rcp85,v1-r6,,111,111,KNMI.CERFACS-CNRM-CM5.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r7.STARS3.rcp85,CERFACS-CNRM-CM5,STARS3,rcp85,v1-r7,,111,111,DMI.CERFACS-CNRM-CM5.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r8.STARS3.rcp85,CERFACS-CNRM-CM5,STARS3,rcp85,v1-r8,,111,111,GERICS.CERFACS-CNRM-CM5.REMO2015.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
CERFACS-CNRM-CM5.v1-r9.STARS3.rcp85,CERFACS-CNRM-CM5,STARS3,rcp85,v1-r9,,111,111,DMI.CERFACS-CNRM-CM5.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r10.STARS3.rcp26,EC-EARTH,STARS3,rcp26,v1-r10,,111,111,CLMcom.EC-EARTH.CCLM4-8-17.r12i1p1.rcp26,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r3.STARS3.rcp26,EC-EARTH,STARS3,rcp26,v1-r3,,111,11,DMI.EC-EARTH.HIRHAM5.r3i1p1.rcp26,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
EC-EARTH.v1-r4.STARS3.rcp26,EC-EARTH,STARS3,rcp26,v1-r4,,111,111,CLMcom.EC-EARTH.CCLM4-8-17.r12i1p1.rcp26,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r5.STARS3.rcp26,EC-EARTH,STARS3,rcp26,v1-r5,,111,111,DMI.EC-EARTH.HIRHAM5.r3i1p1.rcp26,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
