,GCM,RCM,RCP,ensemble,institute,Prec,RH,Rs,T,Tmax,Tmin,aP,u2,EToPM,EToPM2,EToHG,EToPT,EToSJ
EC-EARTH.v1-r6.STARS3.rcp26,EC-EARTH,STARS3,rcp26,v1-r6,,111,111,DMI.EC-EARTH.HIRHAM5.r3i1p1.rcp26,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r7.STARS3.rcp26,EC-EARTH,STARS3,rcp26,v1-r7,,111,111,GERICS.EC-EARTH.REMO2015.r12i1p1.rcp26,111,111,11,111,111,11.0,11.0,11.0,11.0,11.0
EC-EARTH.v1-r8.STARS3.rcp26,EC-EARTH,STARS3,rcp26,v1-r8,,111,111,GERICS.EC-EARTH.REMO2015.r12i1p1.rcp26,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r9.STARS3.rcp26,EC-EARTH,STARS3,rcp26,v1-r9,,111,111,KNMI.EC-EARTH.RACMO22E.r12i1p1.rcp26,111,11,111,111,111,11.0,11.0,11.0,11.0,11.0
EC-EARTH.v1-r1.STARS3.rcp85,EC-EARTH,STARS3,rcp85,v1-r1,,111,111,DMI.EC-EARTH.HIRHAM5.r3i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r10.STARS3.rcp85,EC-EARTH,STARS3,rcp85,v1-r10,,111,111,DMI.EC-EARTH.HIRHAM5.r12i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r2.STARS3.rcp85,EC-EARTH,STARS3,rcp85,v1-r2,,111,111,MOHC.EC-EARTH.HadREM3-GA7-05.r12i1p1.rcp85,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
EC-EARTH.v1-r3.STARS3.rcp85,EC-EARTH,STARS3,rcp85,v1-r3,,111,111,KNMI.EC-EARTH.RACMO22E.r3i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r4.STARS3.rcp85,EC-EARTH,STARS3,rcp85,v1-r4,,111,111,CLMcom.EC-EARTH.CCLM4-8-17.r12i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r5.STARS3.rcp85,EC-EARTH,STARS3,rcp85,v1-r5,,111,111,KNMI.EC-EARTH.RACMO22E.r12i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r6.STARS3.rcp85,EC-EARTH,STARS3,rcp85,v1-r6,,111,111,EC-EARTH.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r7.STARS3.rcp85,EC-EARTH,STARS3,rcp85,v1-r7,,111,111,DWD.EC-EARTH.EPISODES2018.r9i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r8.STARS3.rcp85,EC-EARTH,STARS3,rcp85,v1-r8,,111,111,MOHC.EC-EARTH.HadREM3-GA7-05.r12i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1-r9.STARS3.rcp85,EC-EARTH,STARS3,rcp85,v1-r9,,111,111,DWD.EC-EARTH.EPISODES2018.r2i1p1.rcp85,111,11,111,111,111,11.0,11.0,11.0,11.0,11.0
MIROC5.v1-r1.STARS3.rcp85,MIROC5,STARS3,rcp85,v1-r1,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r10.STARS3.rcp85,MIROC5,STARS3,rcp85,v1-r10,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r2.STARS3.rcp85,MIROC5,STARS3,rcp85,v1-r2,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r3.STARS3.rcp85,MIROC5,STARS3,rcp85,v1-r3,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r4.STARS3.rcp85,MIROC5,STARS3,rcp85,v1-r4,,111,111,MIROC5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r5.STARS3.rcp85,MIROC5,STARS3,rcp85,v1-r5,,111,111,MIROC5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r6.STARS3.rcp85,MIROC5,STARS3,rcp85,v1-r6,,111,111,MIROC5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r7.STARS3.rcp85,MIROC5,STARS3,rcp85,v1-r7,,111,111,MIROC5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r8.STARS3.rcp85,MIROC5,STARS3,rcp85,v1-r8,,111,111,MIROC5.v1.CCLM4-8-17.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
MIROC5.v1-r9.STARS3.rcp85,MIROC5,STARS3,rcp85,v1-r9,,111,111,MIROC5.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
HadGEM2-ES.v1-r1.STARS3.rcp26,HadGEM2-ES,STARS3,rcp26,v1-r1,,111,111,GERICS.HadGEM2-ES.REMO2015.r1i1p1.rcp26,11,111,111,111,111,11.0,11.0,11.0,11.0,11.0
HadGEM2-ES.v1-r10.STARS3.rcp26,HadGEM2-ES,STARS3,rcp26,v1-r10,,111,111,KNMI.HadGEM2-ES.RACMO22E.r1i1p1.rcp26,11,111,111,111,111,11.0,11.0,11.0,11.0,11.0
HadGEM2-ES.v1-r3.STARS3.rcp26,HadGEM2-ES,STARS3,rcp26,v1-r3,,111,111,GERICS.HadGEM2-ES.REMO2015.r1i1p1.rcp26,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
HadGEM2-ES.v1-r4.STARS3.rcp26,HadGEM2-ES,STARS3,rcp26,v1-r4,,111,111,KNMI.HadGEM2-ES.RACMO22E.r1i1p1.rcp26,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r6.STARS3.rcp26,HadGEM2-ES,STARS3,rcp26,v1-r6,,111,111,GERICS.HadGEM2-ES.REMO2015.r1i1p1.rcp26,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
HadGEM2-ES.v1-r8.STARS3.rcp26,HadGEM2-ES,STARS3,rcp26,v1-r8,,111,111,KNMI.HadGEM2-ES.RACMO22E.r1i1p1.rcp26,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r1.STARS3.rcp85,HadGEM2-ES,STARS3,rcp85,v1-r1,,111,111,HadGEM2-ES.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r10.STARS3.rcp85,HadGEM2-ES,STARS3,rcp85,v1-r10,,111,111,CLMcom.HadGEM2-ES.CCLM4-8-17.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r2.STARS3.rcp85,HadGEM2-ES,STARS3,rcp85,v1-r2,,111,111,HadGEM2-ES.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r3.STARS3.rcp85,HadGEM2-ES,STARS3,rcp85,v1-r3,,111,111,HadGEM2-ES.v1.WRF361H.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r4.STARS3.rcp85,HadGEM2-ES,STARS3,rcp85,v1-r4,,111,111,HadGEM2-ES.v1.REMO2015.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r5.STARS3.rcp85,HadGEM2-ES,STARS3,rcp85,v1-r5,,111,111,DMI.HadGEM2-ES.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r6.STARS3.rcp85,HadGEM2-ES,STARS3,rcp85,v1-r6,,111,111,CLMcom.HadGEM2-ES.CCLM4-8-17.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r7.STARS3.rcp85,HadGEM2-ES,STARS3,rcp85,v1-r7,,111,111,DMI.HadGEM2-ES.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r8.STARS3.rcp85,HadGEM2-ES,STARS3,rcp85,v1-r8,,111,111,HadGEM2-ES.v1.WRF361H.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
HadGEM2-ES.v1-r9.STARS3.rcp85,HadGEM2-ES,STARS3,rcp85,v1-r9,,111,111,CLMcom.HadGEM2-ES.CCLM4-8-17.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,11.0,11.0
M-MPI-ESM-LR.v1-r1.STARS3.rcp26,M-MPI-ESM-LR,STARS3,rcp26,v1-r1,,11,111,KNMI.M-MPI-ESM-LR.RACMO22E.r1i1p1.rcp26,11,111,111,111,111,11.0,11.0,11.0,11.0,11.0
M-MPI-ESM-LR.v1-r10.STARS3.rcp26,M-MPI-ESM-LR,STARS3,rcp26,v1-r10,,111,111,DWD.M-MPI-ESM-LR.EPISODES2018.r1i1p1.rcp26,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r2.STARS3.rcp26,M-MPI-ESM-LR,STARS3,rcp26,v1-r2,,111,111,MPI-CSC.M-MPI-ESM-LR.REMO2009.r1i1p1.rcp26,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r4.STARS3.rcp26,M-MPI-ESM-LR,STARS3,rcp26,v1-r4,,111,111,MPI-CSC.M-MPI-ESM-LR.REMO2009.r2i1p1.rcp26,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r5.STARS3.rcp26,M-MPI-ESM-LR,STARS3,rcp26,v1-r5,,111,111,DWD.M-MPI-ESM-LR.EPISODES2018.r3i1p1.rcp26,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r6.STARS3.rcp26,M-MPI-ESM-LR,STARS3,rcp26,v1-r6,,111,111,M-MPI-ESM-LR.v1.CCLM4-8-17.rcp26,111,111,111,111,111,11.0,11.0,11.0,11.0,11.0
M-MPI-ESM-LR.v1-r7.STARS3.rcp26,M-MPI-ESM-LR,STARS3,rcp26,v1-r7,,111,111,DWD.M-MPI-ESM-LR.EPISODES2018.r1i1p1.rcp26,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
M-MPI-ESM-LR.v1-r8.STARS3.rcp26,M-MPI-ESM-LR,STARS3,rcp26,v1-r8,,111,111,MPI-CSC.M-MPI-ESM-LR.REMO2009.r2i1p1.rcp26,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r1.STARS3.rcp85,M-MPI-ESM-LR,STARS3,rcp85,v1-r1,,111,111,GERICS.M-MPI-ESM-LR.REMO2015.r3i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r10.STARS3.rcp85,M-MPI-ESM-LR,STARS3,rcp85,v1-r10,,111,111,KNMI.M-MPI-ESM-LR.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r2.STARS3.rcp85,M-MPI-ESM-LR,STARS3,rcp85,v1-r2,,111,111,MOHC.M-MPI-ESM-LR.HadREM3-GA7-05.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r3.STARS3.rcp85,M-MPI-ESM-LR,STARS3,rcp85,v1-r3,,111,111,UHOH.M-MPI-ESM-LR.WRF361H.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r4.STARS3.rcp85,M-MPI-ESM-LR,STARS3,rcp85,v1-r4,,111,111,KNMI.M-MPI-ESM-LR.RACMO22E.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r5.STARS3.rcp85,M-MPI-ESM-LR,STARS3,rcp85,v1-r5,,111,111,CLMcom.M-MPI-ESM-LR.CCLM4-8-17.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r6.STARS3.rcp85,M-MPI-ESM-LR,STARS3,rcp85,v1-r6,,111,111,CLMcom-ETH.M-MPI-ESM-LR.COSMO-crCLIM-v1-1.r2i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r7.STARS3.rcp85,M-MPI-ESM-LR,STARS3,rcp85,v1-r7,,111,111,DMI.M-MPI-ESM-LR.HIRHAM5.r1i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r8.STARS3.rcp85,M-MPI-ESM-LR,STARS3,rcp85,v1-r8,,111,111,DWD.M-MPI-ESM-LR.EPISODES2018.r2i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
M-MPI-ESM-LR.v1-r9.STARS3.rcp85,M-MPI-ESM-LR,STARS3,rcp85,v1-r9,,111,111,DWD.M-MPI-ESM-LR.EPISODES2018.r2i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
EC-EARTH.v1.WRF361H.rcp85,EC-EARTH,WRF361H,rcp85,v1,,111,111,CLMcom.EC-EARTH.CCLM4-8-17.r12i1p1.rcp85,111,111,111,111,111,11.0,111.0,111.0,111.0,111.0
HadGEM2-ES.v1.WRF361H.rcp85,HadGEM2-ES,WRF361H,rcp85,v1,,111,111,111,111,111,111,111,111,111.0,111.0,11.0,11.0,11.0
DWD.CanESM2.EPISODES2018.r1i1p1.historical,CanESM2,EPISODES2018,historical,r1i1p1,DWD,11,11,11,11,11,11,11,11,11.0,11.0,11.0,11.0,11.0
DWD.CanESM2.EPISODES2018.r2i1p1.historical,CanESM2,EPISODES2018,historical,r2i1p1,DWD,11,11,11,11,11,11,11,11,11.0,11.0,11.0,11.0,11.0
DWD.CanESM2.EPISODES2018.r3i1p1.historical,CanESM2,EPISODES2018,historical,r3i1p1,DWD,11,11,11,11,11,11,11,11,11.0,11.0,11.0,11.0,11.0
DWD.CanESM2.EPISODES2018.r4i1p1.historical,CanESM2,EPISODES2018,historical,r4i1p1,DWD,11,11,11,11,11,11,11,11,11.0,11.0,11.0,11.0,11.0
DWD.CanESM2.EPISODES2018.r5i1p1.historical,CanESM2,EPISODES2018,historical,r5i1p1,DWD,11,11,11,11,11,11,11,11,11.0,11.0,11.0,11.0,11.0
DWD.CanESM2.EPISODES2018.r1i1p1.rcp26,CanESM2,EPISODES2018,rcp26,r1i1p1,DWD,111,11,111,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
DWD.CanESM2.EPISODES2018.r3i1p1.rcp26,CanESM2,EPISODES2018,rcp26,r3i1p1,DWD,111,111,111,111,111,11,111,111,11.0,11.0,11.0,11.0,11.0
DWD.CanESM2.EPISODES2018.r4i1p1.rcp26,CanESM2,EPISODES2018,rcp26,r4i1p1,DWD,111,111,111,111,111,111,111,111,11.0,11.0,11.0,11.0,11.0
DWD.CanESM2.EPISODES2018.r5i1p1.rcp26,CanESM2,EPISODES2018,rcp26,r5i1p1,DWD,111,111,111,11,111,111,111,111,11.0,11.0,11.0,11.0,11.0
DWD.CanESM2.EPISODES2018.r1i1p1.rcp45,CanESM2,EPISODES2018,rcp45,r1i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.CanESM2.EPISODES2018.r2i1p1.rcp45,CanESM2,EPISODES2018,rcp45,r2i1p1,DWD,11,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.CanESM2.EPISODES2018.r3i1p1.rcp45,CanESM2,EPISODES2018,rcp45,r3i1p1,DWD,11,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.CanESM2.EPISODES2018.r4i1p1.rcp45,CanESM2,EPISODES2018,rcp45,r4i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.CanESM2.EPISODES2018.r5i1p1.rcp45,CanESM2,EPISODES2018,rcp45,r5i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.CanESM2.EPISODES2018.r1i1p1.rcp85,CanESM2,EPISODES2018,rcp85,r1i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.CanESM2.EPISODES2018.r2i1p1.rcp85,CanESM2,EPISODES2018,rcp85,r2i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.CanESM2.EPISODES2018.r3i1p1.rcp85,CanESM2,EPISODES2018,rcp85,r3i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.CanESM2.EPISODES2018.r4i1p1.rcp85,CanESM2,EPISODES2018,rcp85,r4i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.CanESM2.EPISODES2018.r5i1p1.rcp85,CanESM2,EPISODES2018,rcp85,r5i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.CERFACS-CNRM-CM5.EPISODES2018.r1i1p1.historical,CERFACS-CNRM-CM5,EPISODES2018,historical,r1i1p1,DWD,11,11,11,11,11,11,11,11,11.0,11.0,11.0,11.0,11.0
DWD.CERFACS-CNRM-CM5.EPISODES2018.r1i1p1.rcp26,CERFACS-CNRM-CM5,EPISODES2018,rcp26,r1i1p1,DWD,111,111,111,111,111,111,111,111,11.0,11.0,111.0,11.0,11.0
DWD.CERFACS-CNRM-CM5.EPISODES2018.r1i1p1.rcp45,CERFACS-CNRM-CM5,EPISODES2018,rcp45,r1i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.CERFACS-CNRM-CM5.EPISODES2018.r1i1p1.rcp85,CERFACS-CNRM-CM5,EPISODES2018,rcp85,r1i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.EC-EARTH.EPISODES2018.r12i1p1.historical,EC-EARTH,EPISODES2018,historical,r12i1p1,DWD,11,11,11,11,11,11,11,11,11.0,11.0,11.0,11.0,11.0
DWD.EC-EARTH.EPISODES2018.r2i1p1.historical,EC-EARTH,EPISODES2018,historical,r2i1p1,DWD,11,11,11,11,11,11,11,11,11.0,11.0,11.0,11.0,11.0
DWD.EC-EARTH.EPISODES2018.r12i1p1.rcp45,EC-EARTH,EPISODES2018,rcp45,r12i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.EC-EARTH.EPISODES2018.r2i1p1.rcp45,EC-EARTH,EPISODES2018,rcp45,r2i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.EC-EARTH.EPISODES2018.r9i1p1.rcp45,EC-EARTH,EPISODES2018,rcp45,r9i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.EC-EARTH.EPISODES2018.r12i1p1.rcp85,EC-EARTH,EPISODES2018,rcp85,r12i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.EC-EARTH.EPISODES2018.r2i1p1.rcp85,EC-EARTH,EPISODES2018,rcp85,r2i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.EC-EARTH.EPISODES2018.r9i1p1.rcp85,EC-EARTH,EPISODES2018,rcp85,r9i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.M-MPI-ESM-LR.EPISODES2018.r1i1p1.historical,M-MPI-ESM-LR,EPISODES2018,historical,r1i1p1,DWD,11,11,11,11,11,11,11,11,11.0,11.0,11.0,11.0,11.0
DWD.M-MPI-ESM-LR.EPISODES2018.r2i1p1.historical,M-MPI-ESM-LR,EPISODES2018,historical,r2i1p1,DWD,11,11,11,11,11,11,11,11,11.0,11.0,11.0,11.0,11.0
DWD.M-MPI-ESM-LR.EPISODES2018.r3i1p1.historical,M-MPI-ESM-LR,EPISODES2018,historical,r3i1p1,DWD,11,11,11,11,11,11,11,11,11.0,11.0,11.0,11.0,11.0
DWD.M-MPI-ESM-LR.EPISODES2018.r1i1p1.rcp26,M-MPI-ESM-LR,EPISODES2018,rcp26,r1i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.M-MPI-ESM-LR.EPISODES2018.r2i1p1.rcp26,M-MPI-ESM-LR,EPISODES2018,rcp26,r2i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.M-MPI-ESM-LR.EPISODES2018.r3i1p1.rcp26,M-MPI-ESM-LR,EPISODES2018,rcp26,r3i1p1,DWD,111,111,111,111,111,111,11,111,111.0,111.0,111.0,111.0,111.0
DWD.M-MPI-ESM-LR.EPISODES2018.r1i1p1.rcp45,M-MPI-ESM-LR,EPISODES2018,rcp45,r1i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.M-MPI-ESM-LR.EPISODES2018.r2i1p1.rcp45,M-MPI-ESM-LR,EPISODES2018,rcp45,r2i1p1,DWD,111,111,111,111,111,111,111,111,11.0,11.0,11.0,11.0,11.0
DWD.M-MPI-ESM-LR.EPISODES2018.r3i1p1.rcp45,M-MPI-ESM-LR,EPISODES2018,rcp45,r3i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.M-MPI-ESM-LR.EPISODES2018.r1i1p1.rcp85,M-MPI-ESM-LR,EPISODES2018,rcp85,r1i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.M-MPI-ESM-LR.EPISODES2018.r2i1p1.rcp85,M-MPI-ESM-LR,EPISODES2018,rcp85,r2i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.M-MPI-ESM-LR.EPISODES2018.r3i1p1.rcp85,M-MPI-ESM-LR,EPISODES2018,rcp85,r3i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.NorESM1-M.EPISODES2018.r1i1p1.historical,NorESM1-M,EPISODES2018,historical,r1i1p1,DWD,11,11,11,11,11,11,11,11,11.0,11.0,11.0,11.0,11.0
DWD.NorESM1-M.EPISODES2018.r1i1p1.rcp26,NorESM1-M,EPISODES2018,rcp26,r1i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
DWD.NorESM1-M.EPISODES2018.r1i1p1.rcp45,NorESM1-M,EPISODES2018,rcp45,r1i1p1,DWD,111,111,111,11,111,111,111,111,11.0,11.0,11.0,11.0,11.0
DWD.NorESM1-M.EPISODES2018.r1i1p1.rcp85,NorESM1-M,EPISODES2018,rcp85,r1i1p1,DWD,111,111,111,111,111,111,111,111,111.0,111.0,111.0,111.0,111.0
