ids,labels,parents,values,customdata1,customdata2
RUINS,RUINS,,308,100% of RUINS,-
RUINS.HadGEM2-ES,HadGEM2-ES,RUINS,47,15% of RUINS,-
RUINS.HadGEM2-ES.COSMO-crCLIM-v1-1,COSMO-crCLIM-v1-1,RUINS.HadGEM2-ES,1,0% of RUINS,2% of HadGEM2-ES
RUINS.HadGEM2-ES.COSMO-crCLIM-v1-1.rcp85,RCP85,RUINS.HadGEM2-ES.COSMO-crCLIM-v1-1,1,0% of RUINS,100% of COSMO-crCLIM-v1-1
RUINS.HadGEM2-ES.CCLM4-8-17,CCLM4-8-17,RUINS.HadGEM2-ES,2,0% of RUINS,4% of HadGEM2-ES
RUINS.HadGEM2-ES.CCLM4-8-17.rcp45,RCP45,RUINS.HadGEM2-ES.CCLM4-8-17,1,0% of RUINS,50% of CCLM4-8-17
RUINS.HadGEM2-ES.CCLM4-8-17.rcp85,RCP85,RUINS.HadGEM2-ES.CCLM4-8-17,1,0% of RUINS,50% of CCLM4-8-17
RUINS.HadGEM2-ES.HIRHAM5,HIRHAM5,RUINS.HadGEM2-ES,2,0% of RUINS,4% of HadGEM2-ES
RUINS.HadGEM2-ES.HIRHAM5.rcp45,RCP45,RUINS.HadGEM2-ES.HIRHAM5,1,0% of RUINS,50% of HIRHAM5
RUINS.HadGEM2-ES.HIRHAM5.rcp85,RCP85,RUINS.HadGEM2-ES.HIRHAM5,1,0% of RUINS,50% of HIRHAM5
RUINS.HadGEM2-ES.REMO2015,REMO2015,RUINS.HadGEM2-ES,3,0% of RUINS,6% of HadGEM2-ES
RUINS.HadGEM2-ES.REMO2015.rcp26,RCP26,RUINS.HadGEM2-ES.REMO2015,1,0% of RUINS,33% of REMO2015
RUINS.HadGEM2-ES.REMO2015.rcp45,RCP45,RUINS.HadGEM2-ES.REMO2015,1,0% of RUINS,33% of REMO2015
RUINS.HadGEM2-ES.REMO2015.rcp85,RCP85,RUINS.HadGEM2-ES.REMO2015,1,0% of RUINS,33% of REMO2015
RUINS.HadGEM2-ES.RACMO22E,RACMO22E,RUINS.HadGEM2-ES,3,0% of RUINS,6% of HadGEM2-ES
RUINS.HadGEM2-ES.RACMO22E.rcp26,RCP26,RUINS.HadGEM2-ES.RACMO22E,1,0% of RUINS,33% of RACMO22E
RUINS.HadGEM2-ES.RACMO22E.rcp45,RCP45,RUINS.HadGEM2-ES.RACMO22E,1,0% of RUINS,33% of RACMO22E
RUINS.HadGEM2-ES.RACMO22E.rcp85,RCP85,RUINS.HadGEM2-ES.RACMO22E,1,0% of RUINS,33% of RACMO22E
RUINS.HadGEM2-ES.HadREM3-GA7-05,HadREM3-GA7-05,RUINS.HadGEM2-ES,1,0% of RUINS,2% of HadGEM2-ES
RUINS.HadGEM2-ES.HadREM3-GA7-05.rcp85,RCP85,RUINS.HadGEM2-ES.HadREM3-GA7-05,1,0% of RUINS,100% of HadREM3-GA7-05
RUINS.HadGEM2-ES.WETTREG2013,WETTREG2013,RUINS.HadGEM2-ES,18,5% of RUINS,38% of HadGEM2-ES
RUINS.HadGEM2-ES.WETTREG2013.rcp85,RCP85,RUINS.HadGEM2-ES.WETTREG2013,18,5% of RUINS,100% of WETTREG2013
RUINS.HadGEM2-ES.STARS3,STARS3,RUINS.HadGEM2-ES,16,5% of RUINS,34% of HadGEM2-ES
RUINS.HadGEM2-ES.STARS3.rcp26,RCP26,RUINS.HadGEM2-ES.STARS3,6,1% of RUINS,37% of STARS3
RUINS.HadGEM2-ES.STARS3.rcp85,RCP85,RUINS.HadGEM2-ES.STARS3,10,3% of RUINS,62% of STARS3
RUINS.HadGEM2-ES.WRF361H,WRF361H,RUINS.HadGEM2-ES,1,0% of RUINS,2% of HadGEM2-ES
RUINS.HadGEM2-ES.WRF361H.rcp85,RCP85,RUINS.HadGEM2-ES.WRF361H,1,0% of RUINS,100% of WRF361H
RUINS.M-MPI-ESM-LR,M-MPI-ESM-LR,RUINS,62,20% of RUINS,-
RUINS.M-MPI-ESM-LR.COSMO-crCLIM-v1-1,COSMO-crCLIM-v1-1,RUINS.M-MPI-ESM-LR,3,0% of RUINS,4% of M-MPI-ESM-LR
RUINS.M-MPI-ESM-LR.COSMO-crCLIM-v1-1.rcp85,RCP85,RUINS.M-MPI-ESM-LR.COSMO-crCLIM-v1-1,3,0% of RUINS,100% of COSMO-crCLIM-v1-1
RUINS.M-MPI-ESM-LR.CCLM4-8-17,CCLM4-8-17,RUINS.M-MPI-ESM-LR,3,0% of RUINS,4% of M-MPI-ESM-LR
RUINS.M-MPI-ESM-LR.CCLM4-8-17.rcp45,RCP45,RUINS.M-MPI-ESM-LR.CCLM4-8-17,1,0% of RUINS,33% of CCLM4-8-17
RUINS.M-MPI-ESM-LR.CCLM4-8-17.rcp85,RCP85,RUINS.M-MPI-ESM-LR.CCLM4-8-17,1,0% of RUINS,33% of CCLM4-8-17
RUINS.M-MPI-ESM-LR.CCLM4-8-17.rcp26,RCP26,RUINS.M-MPI-ESM-LR.CCLM4-8-17,1,0% of RUINS,33% of CCLM4-8-17
RUINS.M-MPI-ESM-LR.HIRHAM5,HIRHAM5,RUINS.M-MPI-ESM-LR,1,0% of RUINS,1% of M-MPI-ESM-LR
RUINS.M-MPI-ESM-LR.HIRHAM5.rcp85,RCP85,RUINS.M-MPI-ESM-LR.HIRHAM5,1,0% of RUINS,100% of HIRHAM5
RUINS.M-MPI-ESM-LR.REMO2015,REMO2015,RUINS.M-MPI-ESM-LR,1,0% of RUINS,1% of M-MPI-ESM-LR
RUINS.M-MPI-ESM-LR.REMO2015.rcp85,RCP85,RUINS.M-MPI-ESM-LR.REMO2015,1,0% of RUINS,100% of REMO2015
RUINS.M-MPI-ESM-LR.RACMO22E,RACMO22E,RUINS.M-MPI-ESM-LR,2,0% of RUINS,3% of M-MPI-ESM-LR
RUINS.M-MPI-ESM-LR.RACMO22E.rcp26,RCP26,RUINS.M-MPI-ESM-LR.RACMO22E,1,0% of RUINS,50% of RACMO22E
RUINS.M-MPI-ESM-LR.RACMO22E.rcp85,RCP85,RUINS.M-MPI-ESM-LR.RACMO22E,1,0% of RUINS,50% of RACMO22E
RUINS.M-MPI-ESM-LR.HadREM3-GA7-05,HadREM3-GA7-05,RUINS.M-MPI-ESM-LR,1,0% of RUINS,1% of M-MPI-ESM-LR
RUINS.M-MPI-ESM-LR.HadREM3-GA7-05.rcp85,RCP85,RUINS.M-MPI-ESM-LR.HadREM3-GA7-05,1,0% of RUINS,100% of HadREM3-GA7-05
RUINS.M-MPI-ESM-LR.REMO2009,REMO2009,RUINS.M-MPI-ESM-LR,6,1% of RUINS,9% of M-MPI-ESM-LR
RUINS.M-MPI-ESM-LR.REMO2009.rcp26,RCP26,RUINS.M-MPI-ESM-LR.REMO2009,2,0% of RUINS,33% of REMO2009
RUINS.M-MPI-ESM-LR.REMO2009.rcp45,RCP45,RUINS.M-MPI-ESM-LR.REMO2009,2,0% of RUINS,33% of REMO2009
RUINS.M-MPI-ESM-LR.REMO2009.rcp85,RCP85,RUINS.M-MPI-ESM-LR.REMO2009,2,0% of RUINS,33% of REMO2009
RUINS.M-MPI-ESM-LR.WRF361H,WRF361H,RUINS.M-MPI-ESM-LR,1,0% of RUINS,1% of M-MPI-ESM-LR
RUINS.M-MPI-ESM-LR.WRF361H.rcp85,RCP85,RUINS.M-MPI-ESM-LR.WRF361H,1,0% of RUINS,100% of WRF361H
RUINS.M-MPI-ESM-LR.WETTREG2013,WETTREG2013,RUINS.M-MPI-ESM-LR,14,4% of RUINS,22% of M-MPI-ESM-LR
RUINS.M-MPI-ESM-LR.WETTREG2013.rcp26,RCP26,RUINS.M-MPI-ESM-LR.WETTREG2013,4,1% of RUINS,28% of WETTREG2013
RUINS.M-MPI-ESM-LR.WETTREG2013.rcp85,RCP85,RUINS.M-MPI-ESM-LR.WETTREG2013,10,3% of RUINS,71% of WETTREG2013
RUINS.M-MPI-ESM-LR.STARS3,STARS3,RUINS.M-MPI-ESM-LR,18,5% of RUINS,29% of M-MPI-ESM-LR
RUINS.M-MPI-ESM-LR.STARS3.rcp26,RCP26,RUINS.M-MPI-ESM-LR.STARS3,8,2% of RUINS,44% of STARS3
RUINS.M-MPI-ESM-LR.STARS3.rcp85,RCP85,RUINS.M-MPI-ESM-LR.STARS3,10,3% of RUINS,55% of STARS3
RUINS.M-MPI-ESM-LR.EPISODES2018,EPISODES2018,RUINS.M-MPI-ESM-LR,12,3% of RUINS,19% of M-MPI-ESM-LR
RUINS.M-MPI-ESM-LR.EPISODES2018.historical,HISTORICAL,RUINS.M-MPI-ESM-LR.EPISODES2018,3,0% of RUINS,25% of EPISODES2018
RUINS.M-MPI-ESM-LR.EPISODES2018.rcp26,RCP26,RUINS.M-MPI-ESM-LR.EPISODES2018,3,0% of RUINS,25% of EPISODES2018
RUINS.M-MPI-ESM-LR.EPISODES2018.rcp45,RCP45,RUINS.M-MPI-ESM-LR.EPISODES2018,3,0% of RUINS,25% of EPISODES2018
RUINS.M-MPI-ESM-LR.EPISODES2018.rcp85,RCP85,RUINS.M-MPI-ESM-LR.EPISODES2018,3,0% of RUINS,25% of EPISODES2018
RUINS.NorESM1-M,NorESM1-M,RUINS,13,4% of RUINS,-
RUINS.NorESM1-M.COSMO-crCLIM-v1-1,COSMO-crCLIM-v1-1,RUINS.NorESM1-M,1,0% of RUINS,7% of NorESM1-M
RUINS.NorESM1-M.COSMO-crCLIM-v1-1.rcp85,RCP85,RUINS.NorESM1-M.COSMO-crCLIM-v1-1,1,0% of RUINS,100% of COSMO-crCLIM-v1-1
RUINS.NorESM1-M.HIRHAM5,HIRHAM5,RUINS.NorESM1-M,2,0% of RUINS,15% of NorESM1-M
RUINS.NorESM1-M.HIRHAM5.rcp45,RCP45,RUINS.NorESM1-M.HIRHAM5,1,0% of RUINS,50% of HIRHAM5
RUINS.NorESM1-M.HIRHAM5.rcp85,RCP85,RUINS.NorESM1-M.HIRHAM5,1,0% of RUINS,50% of HIRHAM5
RUINS.NorESM1-M.REMO2015,REMO2015,RUINS.NorESM1-M,3,0% of RUINS,23% of NorESM1-M
RUINS.NorESM1-M.REMO2015.rcp26,RCP26,RUINS.NorESM1-M.REMO2015,1,0% of RUINS,33% of REMO2015
RUINS.NorESM1-M.REMO2015.rcp45,RCP45,RUINS.NorESM1-M.REMO2015,1,0% of RUINS,33% of REMO2015
RUINS.NorESM1-M.REMO2015.rcp85,RCP85,RUINS.NorESM1-M.REMO2015,1,0% of RUINS,33% of REMO2015
RUINS.NorESM1-M.RACMO22E,RACMO22E,RUINS.NorESM1-M,2,0% of RUINS,15% of NorESM1-M
RUINS.NorESM1-M.RACMO22E.rcp26,RCP26,RUINS.NorESM1-M.RACMO22E,1,0% of RUINS,50% of RACMO22E
RUINS.NorESM1-M.RACMO22E.rcp85,RCP85,RUINS.NorESM1-M.RACMO22E,1,0% of RUINS,50% of RACMO22E
RUINS.NorESM1-M.HadREM3-GA7-05,HadREM3-GA7-05,RUINS.NorESM1-M,1,0% of RUINS,7% of NorESM1-M
RUINS.NorESM1-M.HadREM3-GA7-05.rcp85,RCP85,RUINS.NorESM1-M.HadREM3-GA7-05,1,0% of RUINS,100% of HadREM3-GA7-05
RUINS.NorESM1-M.EPISODES2018,EPISODES2018,RUINS.NorESM1-M,4,1% of RUINS,30% of NorESM1-M
RUINS.NorESM1-M.EPISODES2018.historical,HISTORICAL,RUINS.NorESM1-M.EPISODES2018,1,0% of RUINS,25% of EPISODES2018
RUINS.NorESM1-M.EPISODES2018.rcp26,RCP26,RUINS.NorESM1-M.EPISODES2018,1,0% of RUINS,25% of EPISODES2018
RUINS.NorESM1-M.EPISODES2018.rcp45,RCP45,RUINS.NorESM1-M.EPISODES2018,1,0% of RUINS,25% of EPISODES2018
RUINS.NorESM1-M.EPISODES2018.rcp85,RCP85,RUINS.NorESM1-M.EPISODES2018,1,0% of RUINS,25% of EPISODES2018
RUINS.CERFACS-CNRM-CM5,CERFACS-CNRM-CM5,RUINS,42,13% of RUINS,-
RUINS.CERFACS-CNRM-CM5.CCLM4-8-17,CCLM4-8-17,RUINS.CERFACS-CNRM-CM5,2,0% of RUINS,4% of CERFACS-CNRM-CM5
RUINS.CERFACS-CNRM-CM5.CCLM4-8-17.rcp45,RCP45,RUINS.CERFACS-CNRM-CM5.CCLM4-8-17,1,0% of RUINS,50% of CCLM4-8-17
RUINS.CERFACS-CNRM-CM5.CCLM4-8-17.rcp85,RCP85,RUINS.CERFACS-CNRM-CM5.CCLM4-8-17,1,0% of RUINS,50% of CCLM4-8-17
RUINS.CERFACS-CNRM-CM5.HIRHAM5,HIRHAM5,RUINS.CERFACS-CNRM-CM5,1,0% of RUINS,2% of CERFACS-CNRM-CM5
RUINS.CERFACS-CNRM-CM5.HIRHAM5.rcp85,RCP85,RUINS.CERFACS-CNRM-CM5.HIRHAM5,1,0% of RUINS,100% of HIRHAM5
RUINS.CERFACS-CNRM-CM5.REMO2015,REMO2015,RUINS.CERFACS-CNRM-CM5,2,0% of RUINS,4% of CERFACS-CNRM-CM5
RUINS.CERFACS-CNRM-CM5.REMO2015.rcp85,RCP85,RUINS.CERFACS-CNRM-CM5.REMO2015,2,0% of RUINS,100% of REMO2015
RUINS.CERFACS-CNRM-CM5.RACMO22E,RACMO22E,RUINS.CERFACS-CNRM-CM5,3,0% of RUINS,7% of CERFACS-CNRM-CM5
RUINS.CERFACS-CNRM-CM5.RACMO22E.rcp26,RCP26,RUINS.CERFACS-CNRM-CM5.RACMO22E,1,0% of RUINS,33% of RACMO22E
RUINS.CERFACS-CNRM-CM5.RACMO22E.rcp45,RCP45,RUINS.CERFACS-CNRM-CM5.RACMO22E,1,0% of RUINS,33% of RACMO22E
RUINS.CERFACS-CNRM-CM5.RACMO22E.rcp85,RCP85,RUINS.CERFACS-CNRM-CM5.RACMO22E,1,0% of RUINS,33% of RACMO22E
RUINS.CERFACS-CNRM-CM5.WETTREG2013,WETTREG2013,RUINS.CERFACS-CNRM-CM5,20,6% of RUINS,47% of CERFACS-CNRM-CM5
RUINS.CERFACS-CNRM-CM5.WETTREG2013.rcp85,RCP85,RUINS.CERFACS-CNRM-CM5.WETTREG2013,20,6% of RUINS,100% of WETTREG2013
RUINS.CERFACS-CNRM-CM5.STARS3,STARS3,RUINS.CERFACS-CNRM-CM5,10,3% of RUINS,23% of CERFACS-CNRM-CM5
RUINS.CERFACS-CNRM-CM5.STARS3.rcp85,RCP85,RUINS.CERFACS-CNRM-CM5.STARS3,10,3% of RUINS,100% of STARS3
RUINS.CERFACS-CNRM-CM5.EPISODES2018,EPISODES2018,RUINS.CERFACS-CNRM-CM5,4,1% of RUINS,9% of CERFACS-CNRM-CM5
RUINS.CERFACS-CNRM-CM5.EPISODES2018.historical,HISTORICAL,RUINS.CERFACS-CNRM-CM5.EPISODES2018,1,0% of RUINS,25% of EPISODES2018
RUINS.CERFACS-CNRM-CM5.EPISODES2018.rcp26,RCP26,RUINS.CERFACS-CNRM-CM5.EPISODES2018,1,0% of RUINS,25% of EPISODES2018
RUINS.CERFACS-CNRM-CM5.EPISODES2018.rcp45,RCP45,RUINS.CERFACS-CNRM-CM5.EPISODES2018,1,0% of RUINS,25% of EPISODES2018
RUINS.CERFACS-CNRM-CM5.EPISODES2018.rcp85,RCP85,RUINS.CERFACS-CNRM-CM5.EPISODES2018,1,0% of RUINS,25% of EPISODES2018
RUINS.EC-EARTH,EC-EARTH,RUINS,55,17% of RUINS,-
RUINS.EC-EARTH.CCLM4-8-17,CCLM4-8-17,RUINS.EC-EARTH,3,0% of RUINS,5% of EC-EARTH
RUINS.EC-EARTH.CCLM4-8-17.rcp26,RCP26,RUINS.EC-EARTH.CCLM4-8-17,1,0% of RUINS,33% of CCLM4-8-17
RUINS.EC-EARTH.CCLM4-8-17.rcp45,RCP45,RUINS.EC-EARTH.CCLM4-8-17,1,0% of RUINS,33% of CCLM4-8-17
RUINS.EC-EARTH.CCLM4-8-17.rcp85,RCP85,RUINS.EC-EARTH.CCLM4-8-17,1,0% of RUINS,33% of CCLM4-8-17
RUINS.EC-EARTH.HIRHAM5,HIRHAM5,RUINS.EC-EARTH,5,1% of RUINS,9% of EC-EARTH
RUINS.EC-EARTH.HIRHAM5.rcp26,RCP26,RUINS.EC-EARTH.HIRHAM5,1,0% of RUINS,20% of HIRHAM5
RUINS.EC-EARTH.HIRHAM5.rcp45,RCP45,RUINS.EC-EARTH.HIRHAM5,1,0% of RUINS,20% of HIRHAM5
RUINS.EC-EARTH.HIRHAM5.rcp85,RCP85,RUINS.EC-EARTH.HIRHAM5,3,0% of RUINS,60% of HIRHAM5
RUINS.EC-EARTH.REMO2015,REMO2015,RUINS.EC-EARTH,3,0% of RUINS,5% of EC-EARTH
RUINS.EC-EARTH.REMO2015.rcp26,RCP26,RUINS.EC-EARTH.REMO2015,1,0% of RUINS,33% of REMO2015
RUINS.EC-EARTH.REMO2015.rcp45,RCP45,RUINS.EC-EARTH.REMO2015,1,0% of RUINS,33% of REMO2015
RUINS.EC-EARTH.REMO2015.rcp85,RCP85,RUINS.EC-EARTH.REMO2015,1,0% of RUINS,33% of REMO2015
RUINS.EC-EARTH.RACMO22E,RACMO22E,RUINS.EC-EARTH,6,1% of RUINS,10% of EC-EARTH
RUINS.EC-EARTH.RACMO22E.rcp26,RCP26,RUINS.EC-EARTH.RACMO22E,1,0% of RUINS,16% of RACMO22E
RUINS.EC-EARTH.RACMO22E.rcp45,RCP45,RUINS.EC-EARTH.RACMO22E,2,0% of RUINS,33% of RACMO22E
RUINS.EC-EARTH.RACMO22E.rcp85,RCP85,RUINS.EC-EARTH.RACMO22E,3,0% of RUINS,50% of RACMO22E
RUINS.EC-EARTH.HadREM3-GA7-05,HadREM3-GA7-05,RUINS.EC-EARTH,1,0% of RUINS,1% of EC-EARTH
RUINS.EC-EARTH.HadREM3-GA7-05.rcp85,RCP85,RUINS.EC-EARTH.HadREM3-GA7-05,1,0% of RUINS,100% of HadREM3-GA7-05
RUINS.EC-EARTH.WETTREG2013,WETTREG2013,RUINS.EC-EARTH,10,3% of RUINS,18% of EC-EARTH
RUINS.EC-EARTH.WETTREG2013.rcp85,RCP85,RUINS.EC-EARTH.WETTREG2013,10,3% of RUINS,100% of WETTREG2013
RUINS.EC-EARTH.STARS3,STARS3,RUINS.EC-EARTH,18,5% of RUINS,32% of EC-EARTH
RUINS.EC-EARTH.STARS3.rcp26,RCP26,RUINS.EC-EARTH.STARS3,8,2% of RUINS,44% of STARS3
RUINS.EC-EARTH.STARS3.rcp85,RCP85,RUINS.EC-EARTH.STARS3,10,3% of RUINS,55% of STARS3
RUINS.EC-EARTH.WRF361H,WRF361H,RUINS.EC-EARTH,1,0% of RUINS,1% of EC-EARTH
RUINS.EC-EARTH.WRF361H.rcp85,RCP85,RUINS.EC-EARTH.WRF361H,1,0% of RUINS,100% of WRF361H
RUINS.EC-EARTH.EPISODES2018,EPISODES2018,RUINS.EC-EARTH,8,2% of RUINS,14% of EC-EARTH
RUINS.EC-EARTH.EPISODES2018.historical,HISTORICAL,RUINS.EC-EARTH.EPISODES2018,2,0% of RUINS,25% of EPISODES2018
RUINS.EC-EARTH.EPISODES2018.rcp45,RCP45,RUINS.EC-EARTH.EPISODES2018,3,0% of RUINS,37% of EPISODES2018
RUINS.EC-EARTH.EPISODES2018.rcp85,RCP85,RUINS.EC-EARTH.EPISODES2018,3,0% of RUINS,37% of EPISODES2018
RUINS.MIROC5,MIROC5,RUINS,34,11% of RUINS,-
RUINS.MIROC5.CCLM4-8-17,CCLM4-8-17,RUINS.MIROC5,2,0% of RUINS,5% of MIROC5
RUINS.MIROC5.CCLM4-8-17.rcp26,RCP26,RUINS.MIROC5.CCLM4-8-17,1,0% of RUINS,50% of CCLM4-8-17
RUINS.MIROC5.CCLM4-8-17.rcp85,RCP85,RUINS.MIROC5.CCLM4-8-17,1,0% of RUINS,50% of CCLM4-8-17
RUINS.MIROC5.REMO2015,REMO2015,RUINS.MIROC5,2,0% of RUINS,5% of MIROC5
RUINS.MIROC5.REMO2015.rcp26,RCP26,RUINS.MIROC5.REMO2015,1,0% of RUINS,50% of REMO2015
RUINS.MIROC5.REMO2015.rcp85,RCP85,RUINS.MIROC5.REMO2015,1,0% of RUINS,50% of REMO2015
RUINS.MIROC5.WETTREG2013,WETTREG2013,RUINS.MIROC5,20,6% of RUINS,58% of MIROC5
RUINS.MIROC5.WETTREG2013.rcp85,RCP85,RUINS.MIROC5.WETTREG2013,20,6% of RUINS,100% of WETTREG2013
RUINS.MIROC5.STARS3,STARS3,RUINS.MIROC5,10,3% of RUINS,29% of MIROC5
RUINS.MIROC5.STARS3.rcp85,RCP85,RUINS.MIROC5.STARS3,10,3% of RUINS,100% of STARS3
RUINS.IPSL-CM5A-LR,IPSL-CM5A-LR,RUINS,1,0% of RUINS,-
RUINS.IPSL-CM5A-LR.REMO2015,REMO2015,RUINS.IPSL-CM5A-LR,1,0% of RUINS,100% of IPSL-CM5A-LR
RUINS.IPSL-CM5A-LR.REMO2015.rcp26,RCP26,RUINS.IPSL-CM5A-LR.REMO2015,1,0% of RUINS,100% of REMO2015
RUINS.IPSL-CM5A-MR,IPSL-CM5A-MR,RUINS,2,0% of RUINS,-
RUINS.IPSL-CM5A-MR.REMO2015,REMO2015,RUINS.IPSL-CM5A-MR,1,0% of RUINS,50% of IPSL-CM5A-MR
RUINS.IPSL-CM5A-MR.REMO2015.rcp85,RCP85,RUINS.IPSL-CM5A-MR.REMO2015,1,0% of RUINS,100% of REMO2015
RUINS.IPSL-CM5A-MR.RACMO22E,RACMO22E,RUINS.IPSL-CM5A-MR,1,0% of RUINS,50% of IPSL-CM5A-MR
RUINS.IPSL-CM5A-MR.RACMO22E.rcp85,RCP85,RUINS.IPSL-CM5A-MR.RACMO22E,1,0% of RUINS,100% of RACMO22E
RUINS.GFDL-GFDL-ESM2G,GFDL-GFDL-ESM2G,RUINS,1,0% of RUINS,-
RUINS.GFDL-GFDL-ESM2G.REMO2015,REMO2015,RUINS.GFDL-GFDL-ESM2G,1,0% of RUINS,100% of GFDL-GFDL-ESM2G
RUINS.GFDL-GFDL-ESM2G.REMO2015.rcp26,RCP26,RUINS.GFDL-GFDL-ESM2G.REMO2015,1,0% of RUINS,100% of REMO2015
RUINS.CanESM2,CanESM2,RUINS,51,16% of RUINS,-
RUINS.CanESM2.WETTREG2013,WETTREG2013,RUINS.CanESM2,20,6% of RUINS,39% of CanESM2
RUINS.CanESM2.WETTREG2013.rcp85,RCP85,RUINS.CanESM2.WETTREG2013,20,6% of RUINS,100% of WETTREG2013
RUINS.CanESM2.CCLM4-8-17,CCLM4-8-17,RUINS.CanESM2,1,0% of RUINS,1% of CanESM2
RUINS.CanESM2.CCLM4-8-17.rcp85,RCP85,RUINS.CanESM2.CCLM4-8-17,1,0% of RUINS,100% of CCLM4-8-17
RUINS.CanESM2.REMO2015,REMO2015,RUINS.CanESM2,1,0% of RUINS,1% of CanESM2
RUINS.CanESM2.REMO2015.rcp85,RCP85,RUINS.CanESM2.REMO2015,1,0% of RUINS,100% of REMO2015
RUINS.CanESM2.STARS3,STARS3,RUINS.CanESM2,10,3% of RUINS,19% of CanESM2
RUINS.CanESM2.STARS3.rcp85,RCP85,RUINS.CanESM2.STARS3,10,3% of RUINS,100% of STARS3
RUINS.CanESM2.EPISODES2018,EPISODES2018,RUINS.CanESM2,19,6% of RUINS,37% of CanESM2
RUINS.CanESM2.EPISODES2018.historical,HISTORICAL,RUINS.CanESM2.EPISODES2018,5,1% of RUINS,26% of EPISODES2018
RUINS.CanESM2.EPISODES2018.rcp26,RCP26,RUINS.CanESM2.EPISODES2018,4,1% of RUINS,21% of EPISODES2018
RUINS.CanESM2.EPISODES2018.rcp45,RCP45,RUINS.CanESM2.EPISODES2018,5,1% of RUINS,26% of EPISODES2018
RUINS.CanESM2.EPISODES2018.rcp85,RCP85,RUINS.CanESM2.EPISODES2018,5,1% of RUINS,26% of EPISODES2018
